step,maxId,removed,holderDegree,s4,v4,s6,v6,s8,v8,s12,v12,holderTrend,bgSucc,bgHits,bgVis,rewireNodes,rewireJoins,edges,holderTrending,entK,entC,entL,holderEntryRule,deg1,s8i1,trending1,deg2,s8i2,trending2,deg3,s8i3,trending3,deg4,s8i4,trending4
25800,17792,7782,3,0,102,0,654,1,2352,2,5609,0,20,481,2409,10,20,43178,0,1,0,1,0,23,11,0,15,10,0,3,2,0,-1,0,0
26000,17849,7839,3,1,101,0,645,1,2364,3,5660,0,20,464,2392,9,18,43196,0,1,0,0,0,23,15,0,15,8,0,3,2,0,-1,0,0
26200,17916,7906,3,0,104,0,636,2,2415,0,5673,0,20,503,2405,8,16,43212,0,1,0,1,0,23,17,0,15,10,0,3,3,0,-1,0,0
26400,17973,7963,3,0,102,0,668,0,2406,1,5662,0,20,460,2348,7,14,43226,0,2,0,0,0,23,9,0,15,10,0,3,6,0,-1,0,0
26600,18034,8024,3,0,99,1,651,1,2402,3,5625,0,20,471,2393,6,12,43238,0,0,0,0,0,23,11,0,15,5,0,3,3,0,-1,0,0
26800,18087,8077,3,0,100,0,642,0,2429,1,5669,0,20,443,2389,8,16,43254,0,0,1,2,0,23,12,0,15,8,0,5,4,1,-1,0,0
27000,18150,8140,3,0,101,1,654,3,2440,1,5640,0,20,503,2417,7,14,43268,0,0,0,0,0,23,13,0,15,4,0,7,5,1,-1,0,0
27200,18210,8200,3,0,103,2,657,4,2365,3,5671,0,20,497,2429,8,16,43284,0,1,0,2,0,23,12,0,15,7,0,9,12,1,3,5,0
27400,18274,8264,3,0,103,0,654,2,2430,2,5695,0,20,515,2406,9,18,43302,0,0,0,1,0,23,14,0,15,10,0,11,13,1,3,2,0
27600,18343,8333,3,0,100,0,642,0,2364,2,5688,0,20,496,2432,10,20,43322,0,1,0,1,0,23,15,0,15,12,0,13,12,1,3,1,0
27800,18413,8403,3,0,102,0,624,1,2402,1,5659,0,20,461,2343,7,14,43336,0,0,0,2,0,23,9,0,15,12,0,15,11,1,3,3,0
28000,18473,8463,3,0,105,0,635,3,2374,2,5626,0,20,515,2380,6,12,43348,0,0,0,0,0,23,11,0,15,10,0,17,11,1,3,0,0
28200,18525,8515,3,0,104,2,648,1,2385,2,5681,0,20,479,2375,5,10,43358,0,0,0,0,0,23,15,0,15,12,0,19,6,1,3,1,0
28400,18599,8589,3,0,102,0,660,4,2410,4,5679,0,20,466,2419,4,8,43366,0,1,0,1,0,23,18,0,15,10,0,21,11,1,3,1,0
28600,18660,8650,3,0,104,1,655,4,2402,3,5694,0,20,457,2394,5,10,43376,0,0,0,1,0,23,11,0,15,14,0,23,12,1,3,2,0
28800,18717,8707,3,0,105,1,636,3,2421,2,5616,0,20,490,2435,5,10,43386,0,0,0,0,0,23,10,0,15,12,0,25,15,1,3,2,0
29000,18772,8762,3,0,102,0,645,3,2457,3,5654,0,20,435,2380,2,4,43390,0,0,0,0,0,23,15,0,15,8,0,27,13,1,3,1,0
29200,18835,8825,3,0,102,2,657,0,2376,0,5671,0,20,458,2399,1,2,43392,0,0,0,0,0,23,14,0,15,10,0,27,15,0,3,2,0
29400,18889,8879,3,0,103,0,661,4,2412,1,5703,0,20,525,2473,2,4,43396,0,1,0,0,0,23,14,0,15,10,0,27,13,0,5,2,1
29600,18942,8932,3,0,99,0,665,3,2329,3,5672,0,20,527,2405,2,4,43400,0,0,0,0,0,23,16,0,15,8,0,27,6,0,7,4,1
29800,18995,8985,3,0,101,0,637,1,2435,4,5701,0,20,502,2386,1,2,43402,0,0,0,0,0,23,11,0,15,11,0,27,14,0,9,7,1
30000,19057,9047,3,2,101,1,648,5,2398,3,5697,0,20,499,2378,1,2,43404,0,0,0,0,0,23,12,0,15,8,0,27,16,0,11,8,1
30200,19131,9121,3,0,102,0,638,1,2374,3,5693,0,20,487,2426,1,2,43406,0,0,0,0,0,23,12,0,15,8,0,27,17,0,13,10,1
30400,19205,9195,3,0,102,2,636,0,2419,2,5650,0,20,421,2441,1,2,43408,0,0,0,0,0,23,11,0,15,9,0,27,14,0,15,15,1
30600,19270,9260,3,0,103,1,647,3,2354,1,5649,0,20,483,2407,2,4,43412,0,1,0,0,0,23,14,0,15,8,0,27,13,0,17,7,1
30800,19330,9320,3,0,102,0,640,1,2369,2,5673,0,20,422,2381,3,6,43418,0,0,0,1,0,23,13,0,15,6,0,27,13,0,19,9,1
31000,19390,9380,3,0,101,2,651,2,2388,3,5704,0,20,483,2374,5,10,43428,0,0,0,2,0,23,12,0,15,9,0,27,14,0,21,15,1
31200,19448,9438,3,0,105,0,651,2,2392,4,5674,0,20,464,2410,6,12,43440,0,0,0,1,0,23,10,0,15,13,0,27,17,0,23,13,1
31400,19499,9489,3,0,103,1,635,2,2397,4,5667,0,20,470,2398,5,10,43450,0,0,0,1,0,23,11,0,15,10,0,27,14,0,25,14,1
31600,19556,9546,3,0,99,2,642,0,2404,2,5680,0,20,468,2389,5,10,43460,0,1,0,0,0,23,17,0,15,11,0,27,17,0,27,15,1
31800,19616,9606,3,1,101,0,657,1,2344,1,5684,0,20,450,2400,4,8,43468,0,1,0,0,0,23,9,0,15,9,0,27,13,0,29,10,1
32000,19677,9667,3,0,105,0,662,3,2424,2,5676,0,20,460,2384,6,12,43480,0,2,0,1,0,23,12,0,15,11,0,27,14,0,29,14,0
