step,maxId,removed,holderDegree,s4,v4,s6,v6,s8,v8,s12,v12,holderTrend,bgSucc,bgHits,bgVis,rewireNodes,rewireJoins,edges,holderTrending,entK,entC,entL,holderEntryRule,deg1,s8i1,trending1,deg2,s8i2,trending2,deg3,s8i3,trending3,deg4,s8i4,trending4
22200,16712,6702,3,0,100,0,639,3,2338,9,5778,0,20,425,2337,0,0,41677,0,2,0,1,2,3,6,1,3,1,0,-1,0,0,-1,0,0
22400,16770,6760,3,0,101,1,639,1,2373,8,5804,0,20,446,2329,0,0,41677,0,0,0,1,2,3,3,1,3,5,0,-1,0,0,-1,0,0
22600,16834,6824,3,0,103,1,622,4,2305,6,5773,0,20,444,2376,0,0,41677,0,0,0,0,2,3,3,0,3,1,0,-1,0,0,-1,0,0
22800,16894,6884,3,0,99,0,632,4,2336,5,5772,0,20,504,2344,0,0,41677,0,2,0,0,2,3,3,0,3,1,0,-1,0,0,-1,0,0
23000,16950,6940,3,0,102,1,628,2,2334,7,5803,0,20,472,2347,0,0,41677,0,0,0,0,2,3,3,0,3,2,0,-1,0,0,-1,0,0
23200,16999,6989,3,0,98,1,642,4,2328,5,5802,0,20,472,2386,0,0,41677,0,0,0,2,2,3,2,0,3,3,0,-1,0,0,-1,0,0
23400,17060,7050,3,0,100,0,634,3,2289,11,5820,0,20,451,2333,0,0,41677,0,0,0,1,2,3,3,0,3,2,1,-1,0,0,-1,0,0
23600,17127,7117,3,0,102,2,629,2,2342,9,5784,0,20,492,2399,0,0,41677,0,0,0,0,2,3,3,0,3,0,1,-1,0,0,-1,0,0
23800,17179,7169,3,0,102,1,643,2,2367,7,5784,0,20,447,2338,0,0,41677,0,0,0,0,2,3,4,0,3,2,1,-1,0,0,-1,0,0
24000,17248,7238,3,0,100,1,639,1,2359,5,5784,0,20,483,2335,0,0,41677,0,0,0,1,2,3,4,0,3,2,1,-1,0,0,-1,0,0
24200,17309,7299,3,0,98,1,625,2,2339,8,5791,0,20,506,2380,0,0,41677,0,0,0,2,2,3,7,0,3,2,1,3,1,0,-1,0,0
24400,17375,7365,3,1,100,0,630,2,2322,9,5771,0,20,491,2322,0,0,41677,0,0,0,0,2,3,1,0,3,0,0,3,0,0,-1,0,0
24600,17439,7429,3,0,100,1,646,2,2325,7,5785,0,20,489,2361,0,0,41677,0,0,0,1,2,3,5,0,3,0,0,3,1,0,-1,0,0
24800,17505,7495,3,0,101,2,641,5,2336,4,5782,0,20,490,2322,0,0,41677,0,1,0,1,2,3,6,0,3,3,0,3,6,0,-1,0,0
25000,17569,7559,3,0,100,0,613,1,2306,4,5795,0,20,405,2331,0,0,41677,0,0,1,2,2,3,3,0,3,1,0,3,3,0,-1,0,0
25200,17626,7616,3,0,101,1,639,2,2305,13,5798,0,20,442,2352,0,0,41677,0,0,0,0,2,3,1,0,3,4,0,3,2,0,-1,0,0
