step,maxId,removed,holderDegree,s4,v4,s6,v6,s8,v8,s12,v12,holderTrend,bgSucc,bgHits,bgVis,rewireNodes,rewireJoins,edges,holderTrending,entK,entC,entL,holderEntryRule,deg1,s8i1,trending1,deg2,s8i2,trending2,deg3,s8i3,trending3,deg4,s8i4,trending4
26000,17786,7776,3,0,107,1,674,3,2524,4,5624,0,20,527,2506,0,0,51034,0,1,0,0,1,3,0,0,3,0,0,3,2,0,-1,0,0
26200,17849,7839,3,0,103,1,700,5,2520,8,5596,0,20,489,2505,0,0,51211,0,0,0,0,1,3,1,0,3,1,0,3,0,0,-1,0,0
26400,17909,7899,3,0,105,0,690,3,2470,11,5587,0,20,532,2479,0,0,51373,0,0,0,0,1,3,1,0,3,1,0,3,0,0,-1,0,0
26600,17971,7961,3,0,108,1,701,2,2495,5,5575,0,20,500,2553,0,0,51527,0,1,0,2,1,3,2,0,3,2,0,3,1,1,-1,0,0
26800,18041,8031,3,0,106,0,689,0,2502,8,5544,0,20,503,2517,0,0,51727,0,0,0,0,1,3,4,0,3,2,0,3,3,1,-1,0,0
27000,18114,8104,3,0,104,0,690,3,2486,8,5509,0,20,519,2550,0,0,51927,0,1,0,0,1,3,3,0,3,2,0,3,1,1,-1,0,0
27200,18162,8152,3,0,106,0,693,0,2489,2,5520,0,20,508,2480,0,0,52062,0,1,0,0,1,3,1,0,3,0,0,3,1,1,3,1,0
27400,18218,8208,3,0,105,0,697,0,2495,5,5498,0,20,519,2467,0,0,52213,0,0,0,1,1,3,2,0,3,2,0,3,4,1,3,0,0
27600,18270,8260,3,0,105,0,697,1,2517,7,5506,0,20,514,2479,0,0,52358,0,1,0,0,1,3,3,0,3,0,0,3,0,1,3,2,0
27800,18320,8310,3,0,109,0,711,2,2493,4,5511,0,20,553,2473,0,0,52496,0,1,0,2,1,3,2,0,3,2,0,3,3,1,3,3,0
28000,18376,8366,3,0,106,0,693,4,2511,4,5505,0,20,534,2508,0,0,52658,0,0,0,0,1,3,2,0,3,1,0,3,3,1,3,1,0
28200,18439,8429,3,0,103,0,690,3,2503,3,5470,0,20,512,2466,0,0,52833,0,0,0,1,1,3,1,0,3,3,0,3,1,1,3,1,0
28400,18493,8483,3,0,104,0,702,0,2442,2,5472,0,20,507,2470,0,0,52982,0,0,0,1,1,3,3,0,3,0,0,3,1,1,3,4,0
28600,18571,8561,3,0,107,0,689,2,2522,2,5481,0,20,502,2481,0,0,53193,0,0,0,1,1,3,3,0,3,3,0,3,3,1,3,1,0
28800,18630,8620,3,0,108,2,685,0,2514,6,5458,0,20,544,2472,0,0,53349,0,0,0,2,1,3,2,0,3,3,0,3,4,1,3,1,0
29000,18683,8673,3,1,105,0,689,1,2451,6,5498,0,20,493,2488,0,0,53494,0,0,0,2,1,3,3,0,3,2,0,3,0,1,3,2,0
29200,18759,8749,3,0,106,1,682,1,2507,2,5454,0,20,540,2518,0,0,53704,0,0,0,0,1,3,3,0,3,4,0,3,1,1,3,2,0
29400,18833,8823,3,0,107,0,689,1,2470,4,5431,0,20,466,2477,0,0,53911,0,0,0,0,1,3,2,0,3,3,0,3,1,0,3,1,0
29600,18889,8879,3,0,106,0,701,5,2513,3,5416,0,20,559,2466,0,0,54073,0,0,0,0,1,3,3,0,3,1,0,3,1,0,3,4,0
29800,18946,8936,3,0,107,0,685,1,2464,4,5392,0,20,515,2482,0,0,54235,0,0,0,0,1,3,2,0,3,1,0,3,3,0,3,4,0
30000,19003,8993,3,0,107,0,699,0,2481,4,5410,0,20,541,2514,0,0,54398,0,0,0,0,1,3,1,0,3,3,0,3,1,0,3,2,0
30200,19069,9059,3,0,110,1,678,0,2482,1,5414,0,20,563,2524,0,0,54567,0,0,0,1,1,3,1,0,3,2,0,3,2,0,3,1,0
30400,19127,9117,3,1,108,0,699,2,2505,4,5459,0,20,522,2527,0,0,54695,0,3,0,1,1,3,1,0,3,2,0,3,1,0,3,2,1
30600,19179,9169,3,0,108,0,698,1,2544,3,5463,0,20,468,2521,0,0,54846,0,0,0,1,1,3,0,0,3,4,0,3,1,0,3,2,1
30800,19240,9230,3,0,108,0,711,2,2560,4,5459,0,20,570,2515,0,0,55015,0,0,0,1,1,3,2,0,3,1,0,3,2,0,3,2,1
31000,19301,9291,3,0,105,0,712,3,2502,2,5422,0,20,545,2501,0,0,55182,0,0,0,0,1,3,5,0,3,1,0,3,2,0,3,3,1
31200,19363,9353,3,0,107,1,698,1,2552,4,5393,0,20,515,2524,0,0,55356,0,0,0,0,1,3,1,0,3,1,0,3,1,0,3,4,1
31400,19428,9418,3,1,108,2,696,0,2512,2,5407,0,20,526,2511,0,0,55532,0,1,0,0,1,3,1,0,3,0,0,3,1,0,3,3,1
31600,19499,9489,3,0,106,0,691,1,2509,4,5443,0,20,526,2513,0,0,55722,0,0,0,2,1,3,2,0,3,2,0,3,6,0,3,2,0
31800,19559,9549,3,0,105,0,709,2,2544,5,5389,0,20,465,2531,0,0,55896,0,0,0,1,1,3,2,0,3,3,0,3,2,0,3,1,0
32000,19616,9606,3,0,107,0,692,1,2548,4,5410,0,20,509,2504,0,0,56056,0,1,0,2,1,3,2,0,3,0,0,3,3,0,3,4,0
32200,19681,9671,3,0,111,1,688,1,2494,5,5425,0,20,535,2518,0,0,56238,0,1,0,3,1,3,2,0,3,0,0,3,2,0,3,1,0
